name,artist,album,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_popularity,duration_minutes,z1,z2,artist_top_ten
I'll Show You,Justin Bieber,Purpose,0SNIAtRCPVVLoGEPcuHSIc,0.361,0.608,9,-6.757,0,0.098,0.05,7.96e-05,0.183,0.0789,191.812,4,98,3.33245,0.4914636950463248,-0.021228918270184277,Other
Write On Me,Fifth Harmony,7/27,0UnhE0UhBTBwtnzEXzP0it,0.441,0.692,7,-5.427,0,0.128,0.359,1.94e-06,0.161,0.475,189.879,4,74,3.6593333333333335,-0.8316387478314574,-0.18328289383666235,Fifth Harmony
What Now,Rihanna,Unapologetic,0aUWfpD3PlSv3FTTKcT2rN,0.402,0.696,8,-4.799,0,0.0448,0.0476,0.0,0.628,0.227,180.158,3,91,4.05155,-1.4687388434122024,-0.07608492748771403,Other
This Is What You Came For (feat. Rihanna),Calvin Harris,This Is What You Came For (feat. Rihanna),0azC730Exh71aQlOt9Zj3y,0.631,0.927,9,-2.787,0,0.0332,0.199,0.119,0.148,0.465,123.962,4,86,3.7026666666666666,-3.4837868046443,-0.17522969978367048,Other
I Can Be Somebody (feat. Erin McCarley),Deorro,I Can Be Somebody (feat. Erin McCarley),0sxvPuybHVMwEvCSfbJDM6,0.634,0.482,0,-8.398,1,0.0331,0.0168,0.00115,0.147,0.238,127.928,4,70,4.625,2.127326490160409,0.156050312892151,Other
BO$$,Fifth Harmony,Reflection,1COvXs6jaykXC73h9OSBVM,0.813,0.872,9,-5.224,1,0.107,0.00621,0.0,0.0498,0.736,103.016,4,74,2.856883333333333,-1.0702575229034168,0.2681919998621574,Fifth Harmony
Photograph,Ed Sheeran,x,1HNkqx9Ahdgi1Ixy2xkKkL,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,4,97,4.31645,4.242234953262156,-0.22699506852256335,Ed Sheeran
Tenerife Sea,Ed Sheeran,x,1HbcclMpw0q2WDWpdGCKdS,0.53,0.346,8,-10.497,1,0.0376,0.697,1.07e-05,0.105,0.359,121.876,4,97,4.02245,4.261701514839296,-0.24505782148217425,Ed Sheeran
Carnaval,Maluma,PB.DB. The Mixtape,1VG7hlZpY73n8h8NgidVTh,0.74,0.859,0,-4.742,0,0.033,0.0365,1.08e-05,0.0639,0.782,130.011,4,90,3.534,-1.5495317140091234,0.22096924828596634,Other
Pride,American Authors,What We Live For,1aGECHpgySxBAcLBBMyxlC,0.619,0.869,8,-4.458,1,0.0403,0.0217,0.0,0.359,0.686,103.998,4,71,3.188,-1.8313526682015517,0.17423607715837233,Other
YOUTH,Troye Sivan,Blue Neighbourhood,1cOyWWUr3oXJIxY0AjJEx9,0.628,0.737,7,-4.437,1,0.041,0.0625,0.0,0.0777,0.592,91.507,4,81,3.0865666666666667,-1.840671290170823,0.05285139761360838,Other
Get Ugly,Jason Derulo,Everything Is 4,1dl3vuXJS9anUXE7XnNP75,0.75,0.683,9,-4.829,0,0.12,0.0462,1.32e-06,0.297,0.539,111.066,4,85,3.3415333333333335,-1.4466890690322358,0.0552388865845581,Other
Find You,Zedd,Divergent: Original Motion Picture Soundtrack,1gpF8IwQQj8qOeVjHfIIDU,0.537,0.759,3,-5.622,1,0.0444,0.0267,0.0,0.0947,0.377,127.973,4,80,3.38845,-0.656913089143597,0.0900537149320074,Other
I'm with You,Avril Lavigne,Let Go,1jlG3KJ3gdYmhfuySFfpO1,0.457,0.406,9,-7.462,1,0.0291,0.08,0.0,0.117,0.208,151.95,3,80,3.717783333333333,1.2026927072167188,-0.007585467972835238,Other
Go Big Or Go Home,American Authors,What We Live For,1obisQNOcikRvTdStbW3pG,0.665,0.875,1,-4.272,1,0.0426,0.00939,0.0,0.0897,0.66,122.008,4,71,2.8171166666666667,-2.0170430809679813,0.16126161727689003,Other
You & Me (feat. W. Darling),Bassnectar,Noise vs Beauty,21QQ5b9PP7GnWl2GI98kjD,0.493,0.744,7,-4.021,1,0.0342,0.000748,0.384,0.322,0.151,140.041,4,60,4.071433333333333,-2.247238579556246,-0.11235094446810182,Other
In The Night,The Weeknd,Beauty Behind The Madness,25KybV9BOUlvcnv7nN3Pyo,0.505,0.68,7,-4.993,1,0.0714,0.0796,0.0,0.0465,0.539,168.022,3,97,3.92755,-1.2811800774591058,0.03897940494949108,Other
Break a Sweat,Becky G,Break a Sweat,28r9sD2b6FluK7YHjTJ0fl,0.786,0.7,5,-5.041,0,0.059,0.116,0.000204,0.263,0.65,109.021,4,83,3.470666666666667,-1.2352980331511658,0.06641555660630678,Other
On My Way,The Baseballs,Game Day,2EfmUwj0MBiyjiXEkrd4Re,0.537,0.714,2,-7.495,0,0.0453,0.417,9.92e-06,0.0931,0.567,128.083,4,55,3.5399666666666665,1.2292340694410915,-0.026127867372615993,Other
Future Looks Good,OneRepublic,Oh My My,2JATE4qxTuVgKEKe12sqLp,0.33,0.548,10,-7.922,1,0.0426,0.214,1.21e-05,0.12,0.559,78.594,3,85,3.5097833333333335,1.6520229738805565,0.11450058479362282,Other
Drag Me Down,One Direction,Made In The A.M.,2K87XMYnUMqLcX3zvtAF4G,0.73,0.703,0,-5.672,0,0.0369,0.109,0.0,0.0657,0.595,138.113,4,88,3.202,-0.6054374972898826,0.0983899152250492,One Direction
Raging (feat. Kodaline),Kygo,Cloud Nine,2Vhd5uZB4brKHmM0MNxkZo,0.55,0.689,3,-7.76,0,0.094,0.0498,0.0,0.207,0.408,99.904,4,84,3.74145,1.478107127510134,0.2237473538361324,Other
Entre Tus Alas,Camila,Dejarte De Amar,2WBivCIGbNwTFgnZFCwqKn,0.206,0.531,6,-7.292,1,0.0345,0.0981,0.0,0.103,0.0953,180.666,3,73,4.1,1.0309296452573395,-0.04003279627277607,Other
Candy,Plan B,Candy,2YAQa5dl4GWo0GuVliWvdR,0.9,0.858,11,-3.814,0,0.112,0.275,0.0,0.56,0.592,96.006,4,77,3.458816666666667,-2.455757002165664,-0.1297819100091915,Other
Let Me Go (feat. Chad Kroeger),Avril Lavigne,Avril Lavigne (Expanded Edition),2o0V0AATmWmCmMOAFWDuEV,0.385,0.654,4,-6.635,1,0.0342,0.212,0.0,0.136,0.125,164.196,3,80,4.466216666666667,0.3754558845646297,-0.12989498930822263,Other
Miss Movin' On,Fifth Harmony,Better Together,348qSa1KejmhpWgCpsfSxb,0.464,0.845,6,-2.927,1,0.0508,0.0297,6.4e-06,0.302,0.437,75.029,4,74,3.23755,-3.3488995201961274,-0.06394964807593617,Fifth Harmony
Love Myself,Hailee Steinfeld,HAIZ,36phXHOKx8rO7CMp2vNX4x,0.617,0.759,0,-6.785,0,0.0678,0.0026,0.0,0.419,0.324,122.924,4,76,3.6462166666666667,0.5023262733113618,0.17690786380496382,Other
Yellow,Coldplay,Parachutes,3AJwUDP919kvQ9QcozQPxg,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,4,92,4.4462166666666665,0.9489300784331168,0.16037094947217298,Other
End of Time,Beyoncé,4,3FPUFltTjg6ClUL2wr9ux6,0.711,0.811,6,-7.503,0,0.219,0.0328,0.000517,0.0649,0.785,117.999,4,87,3.7331166666666666,1.2045494268981134,0.42057253709189324,Other
18,One Direction,FOUR,3JjnGLK8IxkNLvo8Lb3KOM,0.681,0.582,6,-7.76,0,0.0313,0.22,0.0,0.119,0.221,124.038,4,88,4.139333333333333,1.4982969070721612,-0.03451123039378213,One Direction
Peanut Butter Jelly,Galantis,Pharmacy,3aIhJDHxr1kgTSnutJxPTH,0.708,0.945,5,-3.247,0,0.234,0.00104,0.0803,0.227,0.545,127.96,4,79,3.38555,-3.039616814806769,0.06508848478828252,Galantis
Super Bass,Nicki Minaj,Pink Friday,3hlksXnvbKogFdPbpO9vel,0.723,0.86,11,-4.357,1,0.203,0.271,4.56e-06,0.598,0.667,126.979,4,90,3.33355,-1.9169011124379802,-0.052250751734077054,Other
Look At Me Now (feat. Lil' Wayne & Busta Rhymes),Chris Brown,F.A.M.E. (Expanded Edition),3hsmbFKT5Cujb5GQjqEU39,0.767,0.677,11,-6.128,0,0.184,0.0339,5.51e-06,0.144,0.538,146.155,4,90,3.709783333333333,-0.15232683485041257,0.16268530126604697,Other
Things I'll Never Say,Avril Lavigne,Let Go,3nH2w4Q9yths31lC9C26fT,0.573,0.806,2,-5.172,1,0.0326,0.000598,5.28e-06,0.142,0.589,101.998,4,80,3.731116666666667,-1.1150518749604714,0.18353984281978739,Other
Hey Everybody!,5 Seconds of Summer,Sounds Good Feels Good,3ylFvJfARlPKxGWAJv6Bvf,0.753,0.803,9,-3.737,1,0.0316,0.000938,0.0,0.101,0.853,126.017,4,82,3.2822833333333334,-2.5522969198229855,0.18406677005423286,5 Seconds of Summer
Gone (feat. Ty Dolla $ign),Afrojack,Gone (feat. Ty Dolla $ign),412CkPtLh68KLPg0pLrC53,0.687,0.774,5,-3.851,1,0.0448,0.193,1.28e-06,0.102,0.763,148.05,4,78,3.24325,-2.4238567617461353,-0.015347793086443517,Other
Heartbeat,Beckah Shae,Champion,42XIYrqdJeYsDDtaTP1sGb,0.713,0.563,8,-4.793,1,0.0858,0.0687,0.0,0.104,0.644,104.992,4,41,3.7714333333333334,-1.4779923045629224,0.036545744639342716,Other
Cheers (Drink To That),Rihanna,Loud,46MDLc0Yip6xCMSsdePOAU,0.576,0.912,9,-3.623,1,0.0403,0.0182,0.0,0.293,0.727,79.981,4,91,4.36245,-2.6671132818166767,0.14540639508853945,Other
Lay You Down Easy (feat. Sean Paul),MAGIC!,Lay You Down Easy (feat. Sean Paul),4FTOFgpECL4tlu8DljL0XM,0.644,0.868,6,-5.301,1,0.0738,0.0476,0.0,0.28,0.947,89.971,4,70,2.7207666666666666,-0.9966638185258266,0.3277793382960145,Other
Halo,Beyoncé,I AM...SASHA FIERCE,4JehYebiI9JE8sR8MisGVb,0.508,0.72,11,-5.908,0,0.0628,0.272,0.0,0.0563,0.472,79.983,4,87,4.360666666666667,-0.35850938684011663,-0.0654631269019475,Other
X Gon' Give It To Ya,DMX,DMX: The Legacy,4O9ICXbrUTAVR5kkx6xANJ,0.761,0.899,10,-3.09,0,0.183,0.0137,0.0,0.0719,0.673,95.021,4,75,3.62645,-3.1964893050476597,0.08080218943126022,Other
The Night Is Still Young,Nicki Minaj,The Pinkprint,4bBrKDo8rchikwZOtmXbIH,0.656,0.692,1,-6.145,0,0.0563,0.00212,0.00305,0.128,0.693,128.016,4,90,3.792666666666667,-0.14214520934649963,0.2614303691679326,Other
Sledgehammer,Fifth Harmony,Reflection,4rUTAkOU7OkVGeQuyQCHhF,0.671,0.777,2,-4.322,1,0.046,0.0057,0.0011,0.0783,0.289,99.98,4,74,3.84845,-1.9523687191873154,-0.023334235153568667,Fifth Harmony
Home,Phillip Phillips,The World From The Side Of The Moon,4rsW3WCZBGwhHfJWuHRwyT,0.606,0.826,0,-6.04,1,0.0307,0.0256,1.56e-05,0.117,0.322,121.04,4,67,3.502883333333333,-0.2422922944650209,0.12303131538802105,Other
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,7/27,4tCtwWceOPWzenK2HAIJSb,0.803,0.585,8,-5.861,1,0.0432,0.103,3.94e-06,0.0644,0.593,105.017,4,74,3.574666666666667,-0.4113068340974324,0.0759920145817091,Fifth Harmony
Bohemian Rhapsody - Remastered 2011,Queen,A Night At The Opera,4u7EnebtmKWzUH433cf5Qv,0.414,0.404,0,-9.928,0,0.0499,0.271,0.0,0.3,0.224,71.105,4,89,5.905333333333333,3.6710857044634606,0.0288047774622833,Other
Stars,Demi Lovato,Confident,4zj5PQ9sDzqmgWL4qr1eHy,0.596,0.904,11,-5.327,0,0.101,0.1,1.85e-06,0.2,0.805,156.046,4,84,3.147866666666667,-0.9657785534331254,0.2384281475828574,Other
Adiemus,Karl Jenkins,Adiemus - Songs Of Sanctuary,54CAG8n70kKVbFV6l1zF4G,0.295,0.408,4,-16.632,0,0.0693,0.804,0.148,0.165,0.164,150.454,3,62,3.9568833333333333,10.38468744172767,0.07565585558764021,Other
Thunderstruck,AC/DC,The Razors Edge,57bgtoPSgt236HzfBOd8kj,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,4,85,4.881333333333333,-1.1074620265045796,0.07335440831435128,Other
Cuando Nos Volvamos a Encontrar (feat. Marc Anthony),Carlos Vives,Más + Corazón Profundo,59hfezbTqi7I68O4OyLfcR,0.607,0.867,1,-3.947,1,0.041,0.0234,0.0,0.0828,0.598,102.027,4,78,4.643783333333333,-2.338092785065608,0.09556039807600786,Other
Make You Feel My Love,Adele,19,5FgPwJ7Nh2FVmIXviKl2VF,0.317,0.172,10,-10.636,1,0.0326,0.907,0.000383,0.105,0.0963,65.18,3,96,3.534,4.428168125623992,-0.581207684473754,Other
"Gone, Gone, Gone",Phillip Phillips,The World From The Side Of The Moon,5L79aNYCTKiZq7vaOElXYj,0.664,0.642,6,-5.961,1,0.038,0.129,0.0,0.114,0.501,118.002,4,67,3.494883333333333,-0.3105897906043766,0.04281981243458232,Other
Happily,One Direction,Midnight Memories (Deluxe),5Lf9rCqReE9Ri4tZvLRLuy,0.623,0.89,9,-4.783,1,0.0394,0.0426,0.0,0.153,0.824,117.0,4,88,2.9246666666666665,-1.5110427907740132,0.24764365958671863,One Direction
Happy Birthday (feat. John Legend),Kygo,Cloud Nine,5SAckbSHhNJ41b3bn5XwPL,0.596,0.576,3,-7.636,1,0.103,0.31,0.0,0.112,0.159,107.963,4,84,4.17445,1.3817950535970756,-0.14734800975133736,Other
Bacon,Nick Jonas,Last Year Was Complicated,5W4vPDfwFNQqt7frRjL41t,0.709,0.698,1,-5.182,1,0.0799,0.0738,0.0,0.272,0.755,143.951,4,71,3.0491166666666665,-1.099893456882746,0.15622528767260982,Other
Boom!,Simple Plan,Taking One for the Team,5aJS6QDKNQBwXcy0302gdY,0.457,0.957,7,-3.026,1,0.1,0.000938,0.0,0.265,0.3,160.103,4,72,3.172,-3.253884076212976,-0.051567693950398064,Other
7 Years,Lukas Graham,Lukas Graham,5kqIPrATaCc2LqxVWzQGbk,0.765,0.473,10,-5.829,1,0.0514,0.287,0.0,0.391,0.34,119.992,4,77,3.955,-0.4201880653119505,-0.22595409188144888,Other
I Don't Wanna Go to Bed (feat. Nelly),Simple Plan,Taking One for the Team,5qa9qaltQNHzQGx4W7gNjW,0.722,0.807,7,-4.425,0,0.0452,0.0446,0.0,0.333,0.842,110.022,4,72,3.143116666666667,-1.8639905186884789,0.19725755215195223,Other
Choke,OneRepublic,Oh My My,5xtliWYBVT4cKo9BtBn43B,0.582,0.607,4,-6.397,0,0.0346,0.302,0.0,0.116,0.263,92.021,4,85,3.779333333333333,0.14201878345688687,-0.18088943078947872,Other
Impossible,James Arthur,James Arthur (Deluxe),5yVIlYEHZxQVLyInCdldoS,0.376,0.695,0,-4.782,0,0.0933,0.135,0.0,0.11,0.302,169.533,4,84,3.490666666666667,-1.4827010297708665,-0.11867619226386843,Other
Desire - Gryffin Remix,Years & Years,Desire,6JzCO4ZzxAXhY86vTcqM1Q,0.543,0.876,10,-5.069,0,0.0512,0.0606,0.0,0.157,0.415,122.058,4,74,4.480666666666667,-1.2131854852716546,0.07620885188672241,Other
Call If You Need Me,Galantis,Pharmacy,6TBSEJyK3DvAtR3l0aLeCY,0.385,0.853,10,-2.69,1,0.0359,0.0445,0.0473,0.187,0.484,120.422,4,79,4.024666666666667,-3.585960443772707,-0.0717391712665324,Galantis
Kamikaze,MØ,Kamikaze,6TjP1C3sGQH1jBfzUXfcMg,0.663,0.878,1,-3.195,0,0.0646,0.0368,3.39e-06,0.328,0.704,158.035,4,74,3.570666666666667,-3.0902877426047413,0.07547886961454495,Other
Jet Black Heart,5 Seconds of Summer,Sounds Good Feels Good,6U0D8PIh75fnX6T6TWJLxl,0.507,0.85,11,-4.274,0,0.033,0.000163,0.0,0.0812,0.545,153.957,4,82,3.6952666666666665,-2.0111838330022924,0.11160568405855709,5 Seconds of Summer
Vapor,5 Seconds of Summer,Sounds Good Feels Good,6V6Xoa7CRJJRoe7f9hRdAe,0.507,0.861,1,-4.574,1,0.0434,0.0117,0.0,0.121,0.531,155.071,4,82,2.98485,-1.7117006524142897,0.1229177917615169,5 Seconds of Summer
We Know The Way,Opetaia Foa'i,Moana,6YH2r9NyEJTjlRmKOCvxgJ,0.689,0.578,9,-8.737,1,0.0368,0.36,0.0,0.11,0.391,98.043,4,62,2.356883333333333,2.4756331326377543,-0.005323008383922939,Other
Summer,Calvin Harris,Motion,6YUTL4dYpB9xZO5qExPf05,0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949,4,86,3.7088833333333335,-2.731295084517871,0.12515472118736104,Other
I Found A Girl,The Vamps,Wake Up,6YZOPDWjsa6BPOWLge5gKg,0.717,0.856,4,-4.68,1,0.0565,0.118,0.0,0.274,0.645,89.982,4,76,2.990666666666667,-1.6028451487590807,0.08919018749341776,Other
A Thousand Years,Christina Perri,A Thousand Years,6lanRgr6wXibZr8KgzXxBl,0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,3,76,4.752,1.1999615325778736,-0.21912537663624357,Other
Half a Heart,One Direction,Midnight Memories (Deluxe),6nIE1oCE4udqMGv3bqVNVb,0.515,0.714,0,-4.516,1,0.0348,0.286,0.0,0.118,0.495,155.954,4,88,3.14245,-1.7454499986864922,-0.17630450236929918,One Direction
Like A Champion,Selena Gomez,Stars Dance,6vftvAdsEAAJTGQrUmHnei,0.705,0.903,9,-4.091,0,0.118,0.0736,0.0,0.185,0.935,90.001,4,86,2.929333333333333,-2.202674136529995,0.22033342072626844,Other
No soy una de esas (feat. Alejandro Sanz),Jesse & Joy,No Soy Una De Esas (feat. Alejandro Sanz),7C3l4enZ2M60ZFIWdvgVyh,0.644,0.948,10,-3.521,0,0.161,0.0782,0.0,0.388,0.807,99.938,4,77,3.5122166666666668,-2.7693791816259976,0.13409439398455075,Other
I Lived,OneRepublic,Native,7D49Iig0avHre9RFSUMkd2,0.599,0.854,9,-5.429,1,0.0436,0.0746,0.0,0.278,0.311,119.986,4,85,3.909116666666667,-0.8496372777309981,0.04040953902864389,Other
The Feeling,Justin Bieber,Purpose,7E390nZTMqEbrNC1TmHd42,0.525,0.809,1,-6.185,0,0.0619,0.0819,1.22e-06,0.0971,0.21,127.073,4,98,4.081783333333333,-0.09067620463774878,0.033858115063008426,Other
I Lied,Fifth Harmony,7/27,7EvIMAbhkHXcV8rHbOyNzh,0.674,0.778,8,-4.961,0,0.179,0.0774,0.0,0.308,0.492,118.039,4,74,3.393116666666667,-1.316943920755066,0.05250766369573931,Fifth Harmony
Sígueme Y Te Sigo,Daddy Yankee,Sígueme Y Te Sigo,7F7kL3i6SDEIbDcoJZGiig,0.736,0.878,1,-3.604,0,0.0428,0.069,6.39e-05,0.756,0.663,100.025,4,89,3.49645,-2.67969771108647,0.06267381775790118,Other
The Only Exception,Paramore,Brand New Eyes,7JIuqL4ZqkpfGKQhYlrirs,0.452,0.563,4,-6.607,1,0.0272,0.144,0.0,0.143,0.209,137.715,3,80,4.460883333333333,0.3460752932703659,-0.07145403737634434,Other
I Know What You Did Last Summer,Shawn Mendes,Handwritten (Revisited),7M9t7BCy51ITF8IMyiemzk,0.685,0.767,9,-4.628,0,0.0974,0.106,0.0,0.163,0.722,113.827,4,89,3.73045,-1.6528824878239383,0.09689486938918855,Other
The Hills,The Weeknd,Beauty Behind The Madness,7fBv7CLKzipRk6EC6TWHOB,0.585,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003,4,97,4.03755,0.7981076979106041,-0.0026310165908156047,Other
You,Galantis,Pharmacy,7gUg4GdOA6Y6yRDe36GIjK,0.184,0.871,8,-3.245,0,0.0661,0.00837,0.167,0.15,0.21,127.972,4,79,3.6881,-3.028347893088856,-0.10904910568056758,Galantis
"Bad Man (feat. Robin Thicke, Joe Perry & Travis Barker)",Pitbull,"Bad Man (feat. Robin Thicke, Joe Perry & Travis Barker)",7hpPwrcPE3Ah3qSiQYFUTE,0.636,0.971,2,-4.304,1,0.0639,0.0086,4.8e-06,0.196,0.53,120.025,4,86,3.5787833333333334,-1.9865905832570157,0.14261726165720193,Other
Sympathy For The Devil,The Rolling Stones,Beggars Banquet,7lJt7vBDNUO8Mv8uELND1H,0.658,0.675,9,-10.967,1,0.242,0.604,0.0,0.0428,0.587,115.574,4,82,6.296,4.701875526050126,0.07964311973861954,Other
The Best Damn Thing,Avril Lavigne,The Best Damn Thing (Expanded Edition),7lmX3dD2Xy13Jo1oCTR4ot,0.555,0.943,2,-2.492,1,0.0891,0.00187,3.92e-05,0.151,0.882,165.027,4,80,3.1533333333333333,-3.8010967122263346,0.14872906758544926,Other
All In My Head (Flex) (feat. Fetty Wap),Fifth Harmony,7/27,7nD9nN3jord9wWcfW3Gkcm,0.689,0.791,0,-5.194,0,0.053,0.023,0.0,0.0526,0.755,95.04,4,74,3.50955,-1.0955746794417374,0.23179250566130483,Fifth Harmony
It's a Long Way to the Top (If You Wanna Rock 'N' Roll),AC/DC,High Voltage,7nemcVsXVFZF01iqpIIo2Y,0.456,0.863,3,-3.551,1,0.0894,0.133,0.0538,0.0553,0.532,135.962,4,85,5.02045,-2.724581812909097,-0.05547484652527812,Other
Sweet Child O' Mine,Guns N' Roses,Appetite For Destruction,7o2CTH4ctstm8TNelqjb51,0.454,0.91,6,-7.766,1,0.0448,0.0866,0.0996,0.116,0.629,125.116,4,82,5.908666666666667,1.4688888094137886,0.3642273635155018,Other
Top Down,Fifth Harmony,Reflection,7p9IBJDHBbUh0vBUOsrW3C,0.831,0.677,1,-4.363,1,0.0429,0.244,1.34e-06,0.0443,0.759,101.025,4,74,3.672,-1.9055753855375996,-0.053945138829156164,Fifth Harmony
Never Enough,One Direction,Made In The A.M.,7rdP71W8x4UbJ0KAKBACbo,0.579,0.779,4,-1.829,0,0.0512,0.0379,0.0,0.385,0.587,164.145,3,88,3.5573333333333332,-4.443500379246632,-0.11438318602526754,One Direction
Gyal You A Party Animal,Charly Black,Gyal You A Party Animal,7rj8aNwZqTvrUeLlAyNWtZ,0.588,0.841,0,-5.138,1,0.0932,0.026,0.0,0.33,0.871,134.577,5,65,3.5811166666666665,-1.1569160265212923,0.2916089955920722,Other
Suéltate,Mando,Suéltate,7uJNNH7qsy4f4ZWcXzRED8,0.71,0.833,11,-3.869,0,0.0407,0.0673,0.0,0.128,0.796,100.054,4,32,3.28155,-2.4169598240883254,0.1252065595776358,Other
Hall of Fame (feat. will.i.am),The Script,#3 Deluxe Version,7wMq5n8mYSKlQIGECKUgTX,0.421,0.873,10,-4.343,1,0.0564,0.0654,0.0,0.123,0.629,84.786,4,77,3.37555,-1.9421580952427266,0.10623519008817355,Other
Second Chances,Imagine Dragons,Smoke + Mirrors,7z3AlZQ8NaPpB1Yic5cIDJ,0.401,0.567,10,-9.131,1,0.0355,0.171,0.00859,0.103,0.362,171.059,3,92,3.6328833333333335,2.8589604527127124,0.16613271596691434,Other
Homemade Dynamite,Lorde,Melodrama,02oAUzv4M0ItuTDy2RT3IT,0.771,0.431,10,-5.423,1,0.0577,0.287,2.75e-06,0.0934,0.268,107.047,4,81,3.1632666666666664,-0.8207557257644611,-0.3022817885148887,Other
Guerra,Residente/Calle 13,Residente,04zodNGYYLI7Q7DsFgQAql,0.519,0.748,9,-5.938,1,0.075,0.0997,0.0,0.12,0.297,150.045,3,67,5.5777833333333335,-0.3350845310011616,0.01576945341037131,Residente/Calle 13
Let's Hurt Tonight,OneRepublic,Oh My My,05sCp83gcMm1iecYydKJS3,0.359,0.713,5,-4.526,1,0.0366,0.33,0.0,0.324,0.272,61.519,4,85,3.242,-1.7269046766262177,-0.3071309355266251,Other
Glorious (feat. Skylar Grey),Macklemore,GEMINI,0CokSRCu5hZgPxcZBaEzVE,0.731,0.794,0,-5.126,0,0.0522,0.0323,2.59e-05,0.112,0.356,139.994,4,78,3.6742333333333335,-1.1521866942079348,0.05058269282689942,Other
Feel Good (feat. Daya),Gryffin,Feel Good (feat. Daya),0Ev562zA4pmUsBqjxsxxdx,0.625,0.707,2,-4.761,1,0.0337,0.22,0.0,0.213,0.479,138.064,4,75,4.135933333333333,-1.5042099002171998,-0.11177627754560528,Other
Shape of You,Ed Sheeran,Shape of You,0FE9t6xYkqWXU2ahLh6D8X,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,4,97,3.8952166666666668,-3.0659441110089043,-0.3607990903004954,Ed Sheeran
Robarte un Beso,Carlos Vives,VIVES,0JcNysfWVWaMS7R6vzGB2k,0.742,0.859,10,-4.942,1,0.0482,0.0824,0.0,0.359,0.652,95.046,4,78,3.2457,-1.3440698962332718,0.14295330763166086,Other
Good Life (with G-Eazy & Kehlani),G-Eazy,Good Life (with G-Eazy & Kehlani),0Oa9mHOnH14GZ4toWwkf4c,0.572,0.778,1,-5.208,1,0.233,0.00638,0.0,0.0563,0.54,168.073,4,82,3.7586666666666666,-1.076084211213939,0.15095837836562187,Other
No More Sad Songs (feat. Machine Gun Kelly),Little Mix,Glory Days,0U372D2pbraSnrTFxSYlNj,0.709,0.778,7,-3.533,0,0.046,0.0782,8.3e-06,0.306,0.7,102.022,4,84,3.7533333333333334,-2.7458250256439722,0.03047254308650979,Other
Please Be Naked,The 1975,"I like it when you sleep, for you are so beautiful yet so unaware of it",0UyfKV5iafZCCtQxRBbe85,0.211,0.579,0,-10.09,1,0.0582,0.934,0.911,0.174,0.0817,115.786,4,78,4.430666666666666,3.86506240104225,-0.5101956567986684,Other
Down (feat. Gucci Mane),Fifth Harmony,Fifth Harmony,0XQHz5C8PknyrEhyrKxVKa,0.53,0.512,8,-7.094,1,0.133,0.0162,7.04e-05,0.128,0.401,196.121,4,74,2.7533333333333334,0.8216395927174238,0.1360438110748942,Fifth Harmony
Galway Girl,Ed Sheeran,÷,0afhq8XCExXpqazXczTSve,0.624,0.876,9,-3.374,1,0.1,0.0735,0.0,0.327,0.781,99.943,4,97,2.8471166666666665,-2.911774347867419,0.09064179275008656,Ed Sheeran
Believer,Imagine Dragons,Evolve,0pqnGHJpmpxLKifKRmU6WP,0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949,4,92,3.4057833333333334,-1.9076828029462385,0.0946222795606473,Other
Higher,The Score,ATLAS,0sJ4NbFdEhgLOtInlbRmFl,0.449,0.745,9,-5.045,0,0.0327,0.00342,0.0,0.295,0.465,83.918,4,76,3.5768833333333334,-1.2349988011436144,0.09760718894997426,Other
Your Number REMIX (feat. Chris Brown & Kid Ink),Ayo Jay,Your Number REMIX (feat. Chris Brown & Kid Ink),0v9w61bEVbIgYbVu0frJag,0.752,0.595,9,-6.763,0,0.121,0.18,0.0,0.291,0.746,100.021,4,54,4.526783333333333,0.4874449043614435,0.14952774900557642,Other
Solo Dance,Martin Jensen,Solo Dance,10AsRVRdU07cMAFHeGYO3c,0.746,0.846,9,-2.432,1,0.048,0.0485,0.0,0.195,0.403,114.955,4,73,2.91555,-3.840335903585571,-0.1316774115932983,Other
Most Girls,Hailee Steinfeld,Most Girls,10GJQkjRJcZhGTLagFOC62,0.756,0.572,9,-7.019,1,0.0763,0.0478,0.0,0.0853,0.417,102.986,4,76,3.4066666666666667,0.7451759948252323,0.13164258975614454,Other
Castle,Halsey,BADLANDS,16w8ZGVSjI4TlTLV8VimBY,0.626,0.571,7,-7.461,0,0.0327,0.25,0.0,0.0946,0.164,129.959,4,87,4.62705,1.2040872173155537,-0.11045040606086654,Other
